"Código do Produto (60)","Tipo (Produto/Servico)","Nome do Produto (120)",Fornecedor,"ID Fornecedor","Marca (25)","Estoque Mínimo","Estoque Máximo","Estoque Atual","Unidade (06)","Produto Variado (Sim/Não)","Valor Venda (Tabela Padrão)","Valor Custo",Peso,"Peso Liq.",ICMS,IPI,PIS,COFINS,"Unidade tributável","Código Benefício Fiscal","Código CEST","NCM (8)","Origem (0 a 8)","Numero da ordem","Código de Barras (GTIN-8,12,13,14)","Tipo Class. (Fiscal)",Observações,"ID Categoria","ID Subcategoria","Situação (Ativo/Inativo)",Tamanho,"Localização no Estoque"
17631,Produto,"ASPERSOR SPRAY ESC P/IRRIG 1812 SAM RAIN BIRD","CASA DAS BOMBAS COMERCIO E EQUIPAMENTOS LTDA",34857978,"RAIN BIRD","0,00","0,00","20,00",un,Não,"186,78","94,60","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,,,,335306,,Ativo,,
,Produto,"ASPERSOR UNI-SPRAY ESC P/IRRIG 4 RAIN BIRD","CASA DAS BOMBAS COMERCIO E EQUIPAMENTOS LTDA",34857978,"RAIN BIRD","0,00","0,00","0,00",UN,Não,"18,08","12,88","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,,00,,335306,,Ativo,,
28381,Produto,"AUTOMATICO NIVEL CB-3012 SUPE INFE 25A 1-2M - MARGIRIUS","PARANA COMERCIO DE MATERIAIS ELETRICOS E SERVICOS LTDA",33950773,,"0,00","0,00","1,00",un,Não,"47,18","47,18","0,00","0,00","0,00","0,00","0,00","0,00",,,,90261029,0,,7890428173430,07,,347054,,Ativo,,
006876,Produto,"BALA BERBAU(500-GRS)FANTASY","UNIVERSO EMBALAGENS LTDA",39448046,,"0,00","0,00","1,00",un,Não,"9,90","9,90","0,00","0,00","0,00","0,00","0,00","0,00",,,,17049020,0,,7896379911398,07,,347054,,Ativo,,
006879,Produto,"BALA BERBAU(500-GRS)TOFFEE SORT.","UNIVERSO EMBALAGENS LTDA",39448046,,"0,00","0,00","1,00",un,Não,"9,90","9,90","0,00","0,00","0,00","0,00","0,00","0,00",,,,17049020,0,,7896379911442,07,,347054,,Ativo,,
443,Produto,"BARRA ROSCAVEL 1M X 5/16","MMH MATERIAIS DE CONSTRUCAO LTDA",37624399,,"0,00","0,00","1,00",un,Não,"14,04","10,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,73181900,0,,,07,,347054,,Ativo,,
00677,Produto,"BASE AMARRACAO CHICOTE 32 X 25MM - HELLERMANN","PARANA COMERCIO DE MATERIAIS ELETRICOS E SERVICOS LTDA",33950773,,"0,00","0,00","130,00",un,Não,"1,09","1,37","0,00","0,00","0,00","0,00","0,00","0,00",,,,39269090,0,,,07,,347054,,Ativo,,
000355,Produto,"BATERIA MA80CD MGE2 AGM","SOS BATERIAS LTDA",39758121,,"0,00","0,00","1,00",un,Não,"2620,00","2620,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,85071090,0,,7897154297072,07,,347054,,Ativo,,
10645,Produto,"BOCAL P/ ASP. SPRAY DE ANGULO AJUSTAVEL (0-330) 4 VAN RAIN B","CASA DAS BOMBAS COMERCIO E EQUIPAMENTOS LTDA",34857978,,"0,00","0,00","25,00",un,Não,"15,84","7,90","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,753810000417,,,344232,,Ativo,,
10646,Produto,"BOCAL P/ ASP. SPRAY DE ANGULO AJUSTAVEL (0-330) 6 VAN RAIN","CASA DAS BOMBAS COMERCIO E EQUIPAMENTOS LTDA",34857978,,"0,00","0,00","25,00",un,Não,"13,32","8,48","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,753810000424,,,344232,,Ativo,,
10647,Produto,"BOCAL P/ ASP. SPRAY DE ANGULO AJUSTAVEL (0-330) 8 VAN RAIN B","CASA DAS BOMBAS COMERCIO E EQUIPAMENTOS LTDA",34857978,,"0,00","0,00","85,00",un,Não,"15,98","7,90","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,753810000431,,,344232,,Ativo,,
10759,Produto,"BOCAL P/ ASP. SPRAY DE ANGULO AJUSTAVEL (0-360) 10 VAN RAIN","CASA DAS BOMBAS COMERCIO E EQUIPAMENTOS LTDA",34857978,"RAIN BIRD","0,00","0,00","183,00",un,Não,"15,17","7,90","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,753810000455,,,344232,,Ativo,,
10643,Produto,"BOCAL P/ ASP. SPRAY DE ANGULO AJUSTAVEL (0-360) 12 VAN RAIN","CASA DAS BOMBAS COMERCIO E EQUIPAMENTOS LTDA",34857978,,"0,00","0,00","224,52",un,Não,"15,17","7,90","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,753810000479,,,344232,,Ativo,,
